"Name","unique id"
"200 Test","1714735432421x181886410473865200"
"Le BAR 1","1714987512892x651112716909674500"
"La Finca Eivissa","1715002687811x925550250081910800"
"Oringi","1715118394504x788857732135649300"
"Ogy","1715233731040x625718123618631700"
"Bodrum Kebab","1715277264920x470213305365692400"
"TEST-1","1715349763030x580440019021856800"
"KMC Food Group","1715420287676x185646603530403840"
"bestgoldencrust","1715523605838x317548509517578240"
"dzo","1715523806206x854844858854277100"
"Cafè Bistro","1715550106525x558945978765541400"
"Libby's Bread and Wine","1715597812783x739800401598480400"
"Cafe","1715677790166x256031565586104320"
"ATN Marple","1715678924671x770142198455337000"
"ATN Macclesfield","1715678957970x792515698837160000"
"Libby's Bakery","1715679029616x303671740678012900"
"Marple Bakery","1715679054311x512315511081795600"
"Taunton","1715750712973x959438338003304400"
"Bank Wolverhampton","1715790101049x942106363641200600"
"Salt House Tapas","1715790150364x301322101399486460"
"Abridge ","1715894009826x278887873587445760"
"The old hall","1716087058247x104996771723214850"
"Hedera Bar & Restaurant","1716122547963x358973061890572300"
"Food Microbiology Lab","1716295739585x170779928424611840"
"River Inn","1716456169889x785737445361582000"
"Y Marram","1716456416476x753292071866204200"
"Gants Hill","1716501992110x286678372158013440"
"Hq","1716607123861x635430998623649800"
"Strandcafeen by Rox","1716735670273x717585798349717500"
"HQ","1716747111353x885812454064390100"
"Roosters","1717072776743x664956966656016400"
"Curry on the Corner","1717074633692x291294736075980800"
"HOME","1717104845903x614299115606769700"
"Spud Inc Ltd","1717346068137x565792890880786400"
"tabu","1717403002602x847957121545535500"
"Haugh's kitchen ","1717491744874x472835167485427700"
"Porth eirias","1717671210183x632416186871054300"
"Yettis Kitchen Eccles","1717775750170x650186130045009900"
"Yettis Kitchen Printworks","1717779344118x744956201406562300"
"Trailer","1717794720411x846381458428788700"
"Mohamed","1717932037895x175011719695826940"
"Olympus ","1718085532487x276394162054234100"
"Manpreet","1718205560306x280663147591761920"
"WLBar","1718442595590x728564841284108300"
"Gazebo","1718581751529x161387953724063740"
"The Brawns Den","1719910967747x979086529252556800"
"Alerta","1719912542830x500359188171980800"
"The Stables","1719924988063x906340185595183100"
"TFS","1719992750250x121013900790726660"
"NQ","1720260216838x309970587421245440"
"Exmouth","1720520271054x207349352027389950"
"City Wine Bar ","1721225211493x745050057773940700"
"MiC","1721382276176x520422253922615300"
"Vlaklaagte Boerdery","1722345781780x853151732714176500"
"www.digitalchef.com.au","1722925389543x971275764720468000"
"koko park","1723084855056x405795054820524000"
"Pitzhanger","1724245980650x416901316370235400"
"Pinciukas","1724517452351x510164163303309300"
"Destiny ","1725240374387x440032608658915300"
"ayoob","1725288701194x582343823118565400"
"The 1859 Pier Cafe & Bistro","1725388596338x647716534470312000"
"Varty","1725522764288x831839439667593200"
"Mood","1725532686114x651069123386146800"
"Rockford","1725554463832x231868663050534900"
"street fusion","1725742860954x228600373692596220"
"test site","1725878987709x114835343267856380"
"Lake Belton High School","1726071065779x485141657056444400"
"Outseta API test 1","1726149720638x353306048875986940"
"test site 2","1726240542009x342310045954867200"
